imagen,metodo,detecciones,tiempo
imagen_55,HOG,3,0.20207810401916504
imagen_55,HAAR,3,0.05110478401184082
imagen_55,MTCNN,1,0.4017910957336426
imagen_56,HOG,6,0.4625086784362793
imagen_56,HAAR,1,0.05755138397216797
imagen_56,MTCNN,1,0.5241470336914062
imagen_57,HOG,6,0.3471693992614746
imagen_57,HAAR,1,0.051096439361572266
imagen_57,MTCNN,1,0.36869239807128906
imagen_58,HOG,3,0.3055846691131592
imagen_58,HAAR,1,0.07181954383850098
imagen_58,MTCNN,1,0.3130049705505371
imagen_59,HOG,2,0.17206740379333496
imagen_59,HAAR,1,0.04400372505187988
imagen_59,MTCNN,1,0.31575655937194824
imagen_60,HOG,9,0.4404475688934326
imagen_60,HAAR,2,0.06461238861083984
imagen_60,MTCNN,2,0.41903162002563477
imagen_61,HOG,5,0.6088650226593018
imagen_61,HAAR,1,0.06551742553710938
imagen_61,MTCNN,1,0.3990802764892578
imagen_62,HOG,0,0.525444507598877
imagen_62,HAAR,1,0.07048892974853516
imagen_62,MTCNN,1,0.39352917671203613
imagen_63,HOG,7,0.2202749252319336
imagen_63,HAAR,2,0.0461122989654541
imagen_63,MTCNN,3,0.389538049697876
imagen_64,HOG,5,0.4878671169281006
imagen_64,HAAR,2,0.06611466407775879
imagen_64,MTCNN,1,0.3957037925720215
imagen_65,HOG,4,0.4562411308288574
imagen_65,HAAR,1,0.05154824256896973
imagen_65,MTCNN,1,0.3488948345184326
imagen_66,HOG,9,0.5432398319244385
imagen_66,HAAR,1,0.0831446647644043
imagen_66,MTCNN,1,0.35335826873779297
imagen_67,HOG,4,0.46053433418273926
imagen_67,HAAR,2,0.05896782875061035
imagen_67,MTCNN,1,0.507655143737793
imagen_68,HOG,9,0.46010637283325195
imagen_68,HAAR,3,0.06656384468078613
imagen_68,MTCNN,1,0.5251529216766357
imagen_69,HOG,1,0.17426609992980957
imagen_69,HAAR,1,0.041310787200927734
imagen_69,MTCNN,1,0.3061635494232178
imagen_70,HOG,3,0.5531558990478516
imagen_70,HAAR,1,0.06060051918029785
imagen_70,MTCNN,1,0.3574965000152588
imagen_71,HOG,7,0.3576226234436035
imagen_71,HAAR,1,0.05509686470031738
imagen_71,MTCNN,1,0.577599287033081
imagen_72,HOG,1,0.34102869033813477
imagen_72,HAAR,1,0.04559493064880371
imagen_72,MTCNN,1,0.5158281326293945
imagen_73,HOG,4,0.46030354499816895
imagen_73,HAAR,1,0.05152559280395508
